"","Name","Pos2","Age","Year","FG","Bhind_Arc","In_Arc","FreeT","OfReb","DefReb","Assist","Steal","Block","TOV","Fouls","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"2938","Tony Bradley","C",18,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.3780710765992,-62.1277567046791,-36.3327278731059,-9.44642928155303,-57.4756879212297,-35.9225674780194,-12.7911504741478,-6.77602998241946,-18.5454405122836,-18.4697509169047
"2939","Tony Bradley","C",17,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.3255624013501,-102.022365127884,-59.7428173839723,-18.0124814730261,-95.7337323546875,-58.5220200057811,-20.8972046493758,-11.0163685226286,-30.0877995931515,-30.7015796074166
"2940","Tony Bradley","C",16,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.4453575837345,-146.804126931665,-85.9820572777122,-27.8070920316317,-138.005243770038,-83.8802517260422,-30.1435781167056,-15.82492276217,-43.1432512238353,-44.5980437859672
"2941","Tony Parker","PG",36,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52588109258592,116.809156240789,22.2729493889289,8.07023821778839,3.05278420576506,202.259397958337,30.902197920598,62.9102306540097,60.5724497518039,23.2637116696127
"2942","Tony Parker","PG",35,2018,178,10,168,55,7,88,195,28,1,68,52,11.6798592052353,164.883308667964,49.7875667697846,21.6182366347014,37.0371454463671,229.317970895557,43.3218910032012,68.8977747017831,76.2657565676239,40.9953217637935
"2943","Tony Parker","PG",34,2017,265,23,242,85,9,104,285,34,2,89,92,16.6615334602509,208.070307714562,74.4730337677667,33.9376766844818,67.008039705077,253.617764640278,54.6012647937027,74.3171030502241,90.4459708336284,57.0622963699352
"2944","Tony Parker","PG",33,2016,350,0.493,0.415,0.501,171,0.76,159,176,379,54,11,20.4709038576334,246.370153380583,96.3293503828747,45.0285583671299,92.9654669818943,275.1587791925,64.7403192921022,79.1682156993326,103.113092549816,71.4646354880389
"2945","Tony Parker","PG",32,2015,404,38,366,130,15,114,335,44,2,146,108,23.1079703973826,279.782845666028,115.35651661511,54.8908816826452,114.909427276819,293.941014552223,73.7390544984002,83.4511126491089,114.267121716189,84.2023391181037
"2946","Tony Parker","PG",31,2014,456,25,431,197,17,138,388,36,9,151,86,24.5727330794985,308.308384570896,131.554532464472,63.524646631028,132.839920589852,309.964470719447,81.5974704125964,87.1657938995528,123.908058332745,95.2754072601301
"2947","Tony Snell","SG",27,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3538852486883,74.7514975163558,37.2358097265156,20.2413141303658,144.246192716861,105.146436155815,70.4908188073468,25.8520545359843,39.6259485968386,83.8088698466545
