"","Name","Pos2","Age","Year","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"1531","John Henson","C",28,2019,14.5625736757882,222.417837374626,63.3851585778952,101.273639028968,243.823991771183,108.870098578317,34.0698609310414,89.147407437987,84.4866709473903,144.214963382539
"1573","Jonas Valanciunas","C",26,2019,27.5963968215884,378.940757658085,165.960260875136,171.279189231763,466.504793662539,168.822773733312,34.5117766836521,65.9567016339815,113.565226246287,196.20277631077
"1597","Jordan Bell","C",24,2019,7.91366817895333,126.571688139747,36.4351872136315,61.1947019886732,161.177242542113,108.046777372775,36.2641384226202,56.8310443442162,53.4638037819752,94.2440157622848
"1687","Julius Randle","C",24,2019,31.9649300914631,339.397103800806,150.519593991254,88.9869008895209,327.976773810001,347.763891413175,65.0111442868012,37.2481501088698,113.942240829473,177.771628125803
"1717","Justin Patton","C",21,2019,11.4305797518537,26.2331482814758,14.9226383622528,4.88037709007065,26.2176434877908,14.3231149502725,5.68509629892576,2.53569144221368,7.00308143142398,8.23792222640068
"1729","Jusuf Nurkic","C",24,2019,22.7149300914632,294.397103800806,117.265093991255,123.212150889521,333.976773810001,144.763891413175,57.5111442868012,72.7481501088698,123.942240829473,177.271628125803
"1741","Karl-Anthony Towns","C",23,2019,103.401682550016,642.433887548081,256.152542370169,184.754931867793,613.066041690526,446.956152053873,99.9960078189107,95.5561410195393,179.637916063334,246.370149818028
"1777","Kendrick Perkins","C",34,2019,-6.8120104677343,-43.7605198568243,-37.461314680451,13.1502867752706,54.2023295143354,5.09590386965051,-9.03541048231448,8.18290846222615,15.2690440340156,56.3494164343474
"1807","Kevin Love","C",30,2019,162.128750529987,243.694917091167,233.597256280653,109.548688826173,474.343189879828,277.517423423322,66.2279451784305,29.9381132419927,100.408115648494,116.027150454308
"1813","Kevon Looney","C",22,2019,23.4129569319491,103.208194309234,49.1735098025836,69.5920072679758,121.759642320978,53.8070437722045,24.943313069781,29.0259057515375,28.9974344962995,70.3660874607719
"1819","Khem Birch","C",26,2019,5.56906046368631,68.7973813785949,42.7768864478838,68.7375852544084,116.150308578327,34.5292189877754,13.9834998384162,20.6946129455514,20.4376186823424,54.9147447862072
"1843","Kosta Koufos","C",29,2019,10.8456621028877,194.556377232897,25.4913074292744,99.7795639275707,266.383590825507,114.39376100082,26.6489030547359,47.0427603399899,53.9473932979421,127.621056918423
"1891","Kyle O'Quinn","C",28,2019,18.9625736757881,162.617837374626,49.3693585778952,78.7090390289682,235.223991771184,128.470098578317,37.2698609310414,67.7474074379871,66.8866709473904,133.814963382539
"1909","LaMarcus Aldridge","C",33,2019,14.7780158112867,508.110536665978,185.537702834791,127.698863521981,363.021987042797,199.688410690829,39.5650715495142,59.824171948001,79.5902827001488,106.64543106196
"1939","Larry Nance","C",26,2019,17.0345260708817,199.777633931289,55.5019734062612,93.0069149983309,231.318573132505,168.070143565545,70.8207587329664,43.8135134902115,44.2260274311041,120.71567022313
"1987","Lucas Nogueira","C",26,2019,19.1034108032963,57.4613368979241,25.4270920768864,25.5486090538584,89.9094389005392,35.9699954506786,21.3095478262922,36.6570716122078,21.3767780803929,52.1984506856103
"2059","Mangok Mathiang","C",26,2019,5.56906046368621,4.79738137859516,0.776886447884053,1.7375852544082,13.1503085783278,0.529218987775579,-0.0165001615835081,-0.305387054448619,-0.562381317657071,3.91474478620717
"2071","Marc Gasol","C",34,2019,37.2611042383865,292.649076524249,164.640651686171,39.2073884205831,304.38158609712,251.812073113332,63.344113673209,79.1195248500042,111.451005050701,129.851524597844
"2077","Marcin Gortat","C",34,2019,-6.53889576161356,305.849076524248,44.4610516861708,131.982588420584,413.58158609712,196.012073113332,29.3441136732092,67.7195248500042,76.0510050507005,143.651524597844
"2155","Marreese Speights","C",31,2019,49.0118389570874,121.833456949437,55.3016051320333,46.6636137247758,150.102788934152,60.8410858458246,8.80698730212523,22.8334661439956,39.8688379990455,126.233243990191
"2161","Marshall Plumlee","C",26,2019,8.9397426243453,12.1396487581795,12.5799048632603,12.2206570651809,31.7321963584339,8.17321807790989,1.0454094036743,2.32602726799276,7.41297429842059,15.7044349233285
"2179","Mason Plumlee","C",28,2019,14.3625736757879,252.817837374626,103.775558577895,109.084039028968,300.423991771183,233.670098578317,86.2698609310414,69.747407437987,96.2866709473905,181.814963382539
"2185","Matt Costello","C",25,2019,6.74136432131966,7.68453475917181,3.60603683075793,0.966143621540539,18.1637755602208,5.28799818027497,2.12381913051837,2.26282864488371,1.95071123215912,7.57938027424595
"2215","Meyers Leonard","C",26,2019,64.9963968215885,88.940757658085,31.7566608751363,23.4791892317634,156.104793662538,103.022773733312,27.311776683652,12.3567016339815,27.7652262462869,98.2027763107702
"2251","Mike Muscala","C",27,2019,43.6794852486884,82.0792975163558,33.6676097265156,37.8003141303659,118.064392716861,63.3464361558148,20.8908188073467,21.6520545359843,31.2259485968387,55.4088698466546
"2263","Miles Plumlee","C",30,2019,7.32875052998747,105.494917091167,9.41765628065366,71.4994888261733,173.943189879829,54.5174234233221,16.2279451784305,38.5381132419927,47.2081156484938,81.0271504543075
"2299","Montrezl Harrell","C",25,2019,15.712467119482,227.551940692442,82.8656075053418,63.0776983992624,147.678840429623,77.9210352838761,26.1013973171701,36.2832782222096,44.9188791974032,98.7116078658736
"2311","Myles Turner","C",22,2019,55.0796235986159,352.208194309234,163.12617646925,86.517381935391,330.426308987645,201.807043772205,59.6099797364477,109.692572418204,108.664101162966,185.032754127439
"2335","Nene Hilario","C",36,2019,-12.7727189074142,113.526156240789,21.081549388929,23.9858382177885,84.3007842057651,58.8593979583368,29.5021979205981,19.5102306540098,34.572449751804,94.6637116696129
"2341","Nerlens Noel","C",24,2019,22.9649300914631,250.147103800806,82.7913439912544,87.7056508895209,270.726773810002,207.013891413175,93.7611442868012,86.4981501088698,90.6922408294733,147.521628125803
"2383","Nikola Jokic","C",23,2019,81.0683492166824,411.100554214748,173.812542370169,142.421598534459,473.399375023859,480.289485387206,119.662674485577,68.5561410195393,153.637916063334,186.703483151361
"2395","Nikola Vucevic","C",28,2019,32.562573675788,454.217837374626,87.3745585778952,133.906239028968,452.823991771183,241.270098578317,79.6698609310415,56.147407437987,106.48667094739,160.614963382539
"2431","Omer Asik","C",32,2019,0.294927384187076,25.571996807708,10.029153983412,59.5219386233783,173.062387988475,68.7647482683271,-3.81397057418007,16.3288190459984,17.1295603495971,46.8393375260759
