Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Andre Miller,PG,39,TOT,39,4,461,59,106,2,8,57,98,24,32,12,39,51,87,16,0,37,46,144,,
Andre Roberson,SG,24,OKC,70,70,1553,136,274,32,103,104,171,33,54,79,172,251,47,53,42,35,133,337,,
Andrea Bargnani,C,30,BRK,46,0,634,127,279,3,16,124,263,47,57,28,69,97,18,4,9,26,61,304,,
Andrew Bogut,C,31,GSW,70,66,1451,175,279,1,1,174,278,24,50,121,371,492,162,33,114,83,221,375,,
Andrew Goudelock,PG,27,HOU,8,0,50,9,20,1,9,8,11,3,4,1,1,2,4,6,2,7,4,22,,
Andrew Nicholson,PF,26,ORL,56,0,823,146,310,41,114,105,196,51,65,34,167,201,25,10,22,41,69,384,,
Andrew Wiggins,SF,20,MIN,81,81,2845,594,1294,57,190,537,1104,430,565,105,186,291,164,78,46,182,165,1675,,
Anthony Bennett,PF,22,TOR,19,0,84,8,27,3,14,5,13,9,10,6,17,23,0,5,0,4,8,28,,
Anthony Brown,SF,23,LAL,29,11,599,39,126,20,70,19,56,17,20,9,61,70,19,14,5,15,34,115,,
Anthony Davis,C,22,NOP,61,61,2164,560,1136,35,108,525,1028,326,430,130,497,627,116,78,125,121,148,1481,,
Anthony Morrow,SG,30,OKC,68,6,926,136,333,79,204,57,129,29,39,10,52,62,24,22,5,17,64,380,,
Anthony Tolliver,PF,30,DET,72,5,1341,128,332,98,272,30,60,29,47,39,190,229,52,26,16,28,86,383,,
Archie Goodwin,PG,21,PHO,57,13,1114,176,422,23,99,153,323,130,193,27,115,142,118,27,13,100,84,505,,
Aron Baynes,C,29,DET,81,1,1233,194,384,0,2,194,382,126,165,140,244,384,51,21,52,67,151,514,,
Arron Afflalo,SG,30,NYK,71,57,2371,354,799,91,238,263,561,110,131,23,243,266,144,25,10,82,142,909,,
Austin Rivers,SG,23,LAC,67,7,1464,226,516,62,185,164,331,79,116,22,108,130,99,48,9,61,137,593,,
Avery Bradley,SG,25,BOS,76,72,2536,456,1019,147,407,309,612,96,123,48,172,220,158,117,19,109,164,1155,,
Axel Toupane,SF,23,DEN,21,0,305,25,70,13,40,12,30,13,17,8,23,31,15,7,6,6,40,76,,
Ben McLemore,SG,22,SAC,68,53,1443,195,455,67,185,128,270,74,103,34,114,148,79,52,10,99,140,531,,
Beno Udrih,PG,33,TOT,44,5,707,86,198,15,44,71,154,18,20,8,64,72,116,14,1,53,51,205,,
Bismack Biyombo,C,23,TOR,82,22,1808,156,288,0,1,156,287,142,226,182,473,655,29,19,133,71,225,454,,
Blake Griffin,PF,26,LAC,35,35,1170,301,603,6,18,295,585,141,194,51,243,294,170,28,17,83,95,749,,
Boban Marjanovic,C,27,SAS,54,4,508,105,174,0,0,105,174,87,114,73,121,194,21,12,23,29,54,297,,
Bobby Portis,PF,20,CHI,62,4,1102,186,436,16,52,170,384,48,66,123,214,337,52,25,22,54,100,436,,
Bojan Bogdanovic,SF,26,BRK,79,39,2115,324,749,129,338,195,411,110,132,36,219,255,99,29,5,115,119,887,,
Boris Diaw,PF,33,SAS,76,4,1386,202,383,25,69,177,314,56,76,58,175,233,176,26,21,97,102,485,,
Bradley Beal,SG,22,WAS,55,35,1708,359,799,105,271,254,528,135,176,41,147,188,162,54,11,112,117,958,,
Brandan Wright,PF,28,MEM,12,2,212,35,52,0,0,35,52,13,24,14,29,43,6,5,15,10,21,83,,
Branden Dawson,PF,22,LAC,6,0,29,2,5,0,0,2,5,1,1,2,2,4,0,0,1,0,2,5,,
Brandon Bass,PF,30,LAL,66,0,1342,174,317,0,2,174,315,125,148,104,181,285,74,33,55,42,125,473,,
