Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Rudy Gobert,C,23,UTA,61,60,1932,198,354,0,0,198,354,0.559,161,0.569,208,460,668,91,45,135,114,163,557,
Russ Smith,PG,24,MEM,15,0,66,7,22,1,5,6,17,0.341,8,0.615,1,8,9,11,5,1,7,5,23,
Russell Westbrook,PG,27,OKC,80,80,2750,656,1444,101,341,555,1103,0.489,465,0.812,145,481,626,834,163,20,342,200,1878,
Ryan Anderson,PF,27,NOP,66,7,2008,397,929,131,358,266,571,0.498,199,0.873,131,265,396,73,38,25,90,109,1124,
Ryan Hollins,C,31,TOT,37,12,460,49,79,0,0,49,79,0.62,26,0.619,47,51,98,10,6,21,24,62,124,
Ryan Kelly,PF,24,LAL,36,0,470,55,149,5,37,50,112,0.386,37,0.685,21,100,121,20,13,10,18,39,152,
Salah Mejri,C,29,DAL,34,6,397,49,78,0,1,49,77,0.628,27,0.587,41,82,123,10,8,36,23,54,125,
Sam Dekker,PF,21,HOU,3,0,6,0,0,,0,,0,,,0,,0,1,1,0,1,0,0,0,0
Sasha Kaun,C,30,CLE,25,0,95,9,17,0.529,0,,9,0.529,0.529,11,0.455,12,14,26,3,4,5,7,11,23
Sasha Vujacic,SG,31,NYK,61,25,908,106,277,0.383,52,0.364,54,0.403,0.477,39,0.821,26,123,149,84,34,5,44,83,296
Sean Kilpatrick,SG,26,TOT,31,0,616,123,270,0.456,39,0.342,84,0.538,0.528,67,0.896,12,44,56,29,12,2,31,37,345
Serge Ibaka,PF,26,OKC,78,78,2500,416,869,0.479,60,0.326,356,0.52,0.513,121,0.752,141,392,533,66,38,148,108,211,983
Sergey Karasev,SF,22,BRK,40,5,399,30,74,0.405,11,0.297,19,0.514,0.48,28,0.929,8,50,58,35,6,2,22,27,97
Seth Curry,PG,25,SAC,44,9,692,102,224,0.455,50,0.45,52,0.46,0.567,54,0.833,9,51,60,67,22,3,36,41,299
Shabazz Muhammad,SF,23,MIN,82,0,1682,317,681,0.465,44,0.289,273,0.516,0.498,242,0.764,100,167,267,52,24,7,70,94,863
Shabazz Napier,PG,24,ORL,55,0,600,68,201,0.338,34,0.327,34,0.351,0.423,45,0.733,9,46,55,97,23,1,46,38,203
Shane Larkin,PG,23,BRK,78,17,1751,222,502,0.442,39,0.361,183,0.464,0.481,107,0.776,28,152,180,342,95,12,146,121,566
Shaun Livingston,PG,30,GSW,78,3,1520,203,379,0.536,2,0.167,201,0.548,0.538,93,0.86,42,127,169,237,57,27,78,140,488
Shayne Whittington,PF,24,IND,7,0,41,5,11,0.455,0,0,5,0.556,0.455,2,0.5,5,7,12,3,1,1,5,7,11
Shelvin Mack,PG,25,TOT,52,27,1058,182,415,0.439,39,0.312,143,0.493,0.486,61,0.738,13,115,128,187,34,3,95,72,448
Solomon Hill,SF,24,IND,59,3,866,93,208,0.447,24,0.324,69,0.515,0.505,42,0.857,39,127,166,57,37,11,33,68,246
Sonny Weems,SG-SF,29,TOT,43,0,499,42,110,0.382,15,0.366,27,0.391,0.45,15,0.533,7,46,53,49,10,1,41,47,107
Spencer Dinwiddie,PG,22,DET,12,0,159,19,54,0.352,1,0.1,18,0.409,0.361,33,0.576,4,13,17,22,3,0,7,20,58
Spencer Hawes,PF,27,CHO,57,6,1035,124,306,0.405,38,0.373,86,0.422,0.467,65,0.831,51,193,244,109,22,27,58,111,340
Stanley Johnson,SF,19,DET,73,6,1687,225,600,0.375,63,0.307,162,0.41,0.428,102,0.784,58,248,306,118,55,12,114,178,593
Stephen Curry,PG,27,GSW,79,79,2700,805,1598,0.504,402,0.454,403,0.566,0.63,400,0.908,68,362,430,527,169,15,262,161,2375
Steve Blake,PG,35,DET,58,2,986,93,240,0.388,52,0.344,41,0.461,0.496,20,0.8,9,80,89,200,24,5,81,70,254
Steve Novak,PF,32,TOT,10,0,44,8,18,0.444,7,0.467,1,0.333,0.639,1,1,0,5,5,0,0,0,1,3,24
Steven Adams,C,22,OKC,80,80,2014,261,426,0.613,0,,261,0.613,0.613,196,0.582,219,314,533,62,42,89,84,223,636
T.J. McConnell,PG,23,PHI,81,17,1606,218,464,0.47,31,0.348,187,0.499,0.503,41,0.634,43,207,250,367,95,10,140,114,493
T.J. Warren,SF,22,PHO,47,4,1070,221,441,0.501,28,0.4,193,0.52,0.533,64,0.703,57,90,147,44,37,16,32,94,515
Taj Gibson,PF,30,CHI,73,55,1936,263,500,0.526,0,0,263,0.529,0.526,146,0.692,206,298,504,106,47,77,78,180,627
Tarik Black,C,24,LAL,39,0,496,57,104,0.548,0,,57,0.548,0.548,45,0.422,44,113,157,16,14,18,22,78,133
Tayshaun Prince,SF,35,MIN,77,44,1462,102,229,0.445,4,0.174,98,0.476,0.454,19,0.684,32,115,147,73,36,13,27,62,221
Terrence Jones,PF,24,HOU,50,11,1044,166,367,0.452,25,0.316,141,0.49,0.486,116,0.664,62,149,211,41,23,39,49,86,434
Terrence Ross,SF,24,TOR,73,7,1747,270,626,0.431,131,0.386,139,0.484,0.536,62,0.79,21,164,185,56,54,25,46,120,720
Terry Rozier,PG,21,BOS,39,0,311,29,106,0.274,6,0.222,23,0.291,0.302,10,0.8,24,39,63,37,6,1,19,23,72
Thabo Sefolosha,SF,31,ATL,75,11,1758,188,372,0.505,42,0.339,146,0.589,0.562,99,0.626,52,282,334,107,85,37,68,109,480
