Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaiah Canaan,PG-SG,26,TOT,20,1,422,52,137,22,66,30,71,46,51,6,39,45,76,16,1,29,36,172
Isaiah Hicks,PF,23,NYK,18,0,240,33,72,2,9,31,63,12,18,10,31,41,16,2,4,16,45,80
Isaiah Taylor,PG,23,ATL,67,9,1167,163,390,20,80,143,310,99,141,22,72,94,206,34,10,84,116,445
Isaiah Thomas,PG,28,TOT,32,15,862,157,421,55,188,102,233,117,131,17,50,67,153,15,3,95,58,486
Isaiah Whitehead,PG,22,BRK,16,0,180,40,86,7,18,33,68,13,19,4,22,26,20,8,2,24,23,100
Ish Smith,PG,29,DET,82,35,2043,389,801,35,101,354,700,81,116,27,197,224,360,64,20,108,140,894
Ivan Rabb,PF,20,MEM,36,5,516,86,152,0,0,86,152,29,36,53,105,158,32,12,13,35,55,201
Ivica Zubac,C,20,LAL,43,0,410,61,122,0,1,61,121,39,51,45,77,122,25,8,15,26,47,161
J.J. Barea,PG,33,DAL,69,10,1603,303,690,115,313,188,377,80,102,15,186,201,434,35,3,143,83,801
J.J. Redick,SG,33,PHI,70,70,2116,404,879,193,460,211,419,197,218,9,169,178,210,35,6,103,123,1198
J.R. Smith,SG,32,CLE,80,61,2244,240,595,143,381,97,214,39,56,29,206,235,141,68,11,81,161,662
Jabari Bird,SG,23,BOS,13,1,115,15,26,3,7,12,19,6,13,6,13,19,8,3,1,8,7,39
Jabari Parker,PF,22,MIL,31,3,743,160,332,31,81,129,251,40,54,42,109,151,59,25,10,45,50,391
Jack Cooley,PF,26,SAC,7,0,87,13,27,0,0,13,27,14,19,14,16,30,6,1,0,3,13,40
Jacob Pullen,PG,28,PHI,3,0,6,1,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2
Jacob Wiley,PF,23,BRK,5,0,33,1,4,1,2,0,2,1,2,2,9,11,2,1,0,0,4,4
Jae Crowder,SF,27,TOT,80,47,2090,271,671,110,341,161,330,121,148,59,216,275,99,64,21,74,187,773
Jahlil Okafor,C,22,TOT,28,0,353,77,138,1,4,76,134,21,29,21,64,85,12,3,18,21,51,176
JaKarr Sampson,SF,24,SAC,22,6,344,44,81,5,10,39,71,10,16,21,57,78,9,8,22,8,48,103
Jake Layman,SF,23,POR,35,1,160,14,47,4,20,10,27,2,3,4,12,16,11,6,4,5,13,34
Jakob Poeltl,C,22,TOR,82,0,1524,253,384,1,2,252,382,60,101,165,228,393,57,39,100,85,212,567
Jalen Jones,SF,24,TOT,16,0,181,26,68,10,26,16,42,12,19,13,25,38,4,5,1,7,22,74
Jamal Crawford,SG,37,MIN,80,0,1653,308,742,104,314,204,428,102,113,21,78,99,185,40,9,95,85,822
Jamal Murray,PG,20,DEN,81,80,2565,479,1062,165,436,314,626,229,253,82,215,297,274,79,28,172,173,1352
Jameel Warney,PF,24,DAL,3,0,27,7,12,0,0,7,12,3,5,4,5,9,0,0,0,1,2,17
Jameer Nelson,PG,35,TOT,50,0,1013,95,244,41,124,54,120,16,20,13,91,104,179,27,4,67,81,247
Jamel Artis,SG,25,ORL,15,1,279,31,79,8,29,23,50,7,12,4,34,38,18,2,3,8,11,77
James Ennis,SF,27,TOT,72,22,1604,182,384,51,153,131,231,97,116,73,151,224,71,47,18,56,134,512
James Harden,SG,28,HOU,72,72,2551,651,1449,265,722,386,727,624,727,41,348,389,630,126,50,315,169,2191
James Johnson,PF,30,MIA,73,41,1943,309,614,57,185,252,429,113,162,61,297,358,280,70,51,142,192,788
James Michael McAdoo,PF,25,PHI,3,0,18,2,7,2,7,0,0,2,2,0,2,2,0,0,1,1,1,8
